MBU,C4-GUJ-01,C4-GUJ-02,C4-SKT-03,C4-GRT-04,C4-NRW-05,C4-HFZ-06,C4-WZD-07,C4-MBD-08,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-01 00:00:00,0.9640876461609355,0.9779702338556505,0.9714897012856806,0.9916768923049263,0.9878976724553787,0.9933442754376841,0.9829195023148148,0.9955965649291266,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-02 00:00:00,0.9655693256436841,0.9539953308008863,0.9802914528780373,0.994105593761237,0.9906974426488717,0.9930475385682094,0.9840646701388889,0.9940590706447188,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03 00:00:00,0.9635877289614654,0.9694941288778094,0.9776617421561689,0.9872732942286947,0.9908042055260761,0.9886471875541689,0.9730699652777779,0.993277749199817,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04 00:00:00,0.9808809976383849,0.9708938746438747,0.9827889832507667,0.9820998142155101,0.9962129160636758,0.9945400524354308,0.9709726851851852,0.9958288425109413,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05 00:00:00,0.9650473763032084,0.9885625643004116,0.9737831372375559,0.9864680158516121,0.9899280095942542,0.9914111883919802,0.9789439236111112,0.990513627604677,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-06 00:00:00,0.958100519843327,0.9492799343146565,0.982340248289691,0.9866743639877743,0.9908285429061477,0.9857743073611833,0.9672847511574073,0.9949908958782416,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07 00:00:00,0.9732746529577789,0.9872490800094966,0.987658609046945,0.9906662958468176,0.9906747467438496,0.9752697427341538,0.9856698784722222,0.9857396180351428,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-08 00:00:00,0.981147507344047,0.9901912195314974,0.9788700349433829,0.9945565518997962,0.978135116846224,0.9920824124631652,0.9877283854166667,0.9959737735972304,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-09 00:00:00,0.9906219939807615,0.9953377008151314,0.9917653964673272,0.9954706790123456,0.983654074208072,0.9931636404345063,0.9758682002314815,0.9915458227186622,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10 00:00:00,0.9745369830366915,0.9880526867679645,0.9859292064755839,0.9949019012944984,0.9930162606528381,0.9929654908418558,0.9851214988425926,0.9979338746815598,,,,,,,,,,,,,,,,,,,,,,,,
