Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Average NAR,avrg
258,KMK3244,KMK3244__Kassoki_Road,3,C4-GUJ-01,30,Stand by,,0.928954475308642,1,1,0.9686342592592593,1,1,1,1,1,1,1,1,0.9896797839506173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9943634259259259,0.994363425925926
259,WND5005,WND5005__S_Wandoh Warid_MDIK4147,3,C4-GUJ-01,,CP Prime,,0.5685995370370371,0.564297839506173,0.52727237654321,0.9343557098765433,0.898707561728395,0.7240354938271605,1,0.7530478395061728,0.7697608024691358,1,1,0.9863425925925926,1,0.9974151234567902,0.9607253086419754,0.9898148148148148,1,0.6844135802469136,0.9101466049382716,0.8888310185185185,1,1,1,1,1,1,1,1,1,1,1,0.8578883101851853,0.8578883101851852
260,GUJ9809,GUJ9809__PeopleColonyS2,3,C4-GUJ-01,30,Stand by,,1,1,0.9587962962962963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9979398148148148,0.9979398148148149
261,RUR6392,RUR6392__S_Tamboli_TPLTI001,3,C4-GUJ-01,,Telenor,TPLTI001,1,1,0.8945601851851852,1,0.9962962962962963,1,1,1,1,0.9896219135802469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9940239197530865,0.9940239197530865
262,GUJ3031,GUJ3031__MohwestTower,3,C4-GUJ-01,30,Stand by,,0.8445023148148147,0.875204475308642,1,1,0.9889467592592592,1,0.9788194444444445,0.9858603395061728,1,0.9847222222222223,0.9170138888888889,1,1,1,1,0.9827546296296297,0.9732831790123457,0.9163194444444445,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9723713348765433,0.9723713348765431
263,GUJ6949,GUJ6949__JhangiVillage,3,C4-GUJ-01,30,Stand by,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
264,RUR5945,RUR5945__S_Majo Chak Warid_305298,3,C4-GUJ-01,9,Stand by,,1,1,1,1,0.8562885802469136,1,1,1,1,1,1,1,0.8501157407407407,1,1,1,0.9836805555555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9845042438271605,0.9845042438271605
265,SDK5916,SDK5916__S_GTRDSadhokeWarid_ES4293,3,C4-GUJ-01,20,Stand by,,1,1,1,1,1,0.8647685185185185,1,1,1,1,1,1,1,1,1,0.8758487654320988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9870308641975309,0.9870308641975309
266,RUR0995,RUR0995__Gunhor,3,C4-GUJ-01,,UFONE,3732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
267,GUJ9878,GUJ9878__OppSocialHosp_Gj,3,C4-GUJ-01,,GLO,,0.9954861111111111,1,1,0.8008101851851852,1,0.793190586419753,1,1,0.9901620370370371,1,0.8031327160493826,0.9953125,0.8187307098765433,1,1,0.8855594135802469,0.9907407407407407,0.8007523148148148,1,0.7233024691358025,1,1,1,1,1,1,1,1,1,1,1,0.929858989197531,0.9298589891975308
268,KMK5930,KMK5930__S_DaulatPura Warid_IK1569,3,C4-GUJ-01,20,Stand by,,0.9872106481481482,0.9916666666666667,0.9957368827160494,0.9882137345679012,0.988491512345679,0.9910493827160494,0.9880401234567902,0.9940393518518519,0.9939429012345679,0.9887538580246914,0.9871720679012346,0.9940200617283951,0.9940200617283951,0.9941358024691358,0.9937307098765432,0.9940007716049383,0.9940586419753087,0.9825231481481481,0.9819251543209877,0.948996913580247,1,1,1,1,1,1,1,1,1,1,1,0.9885864197530863,0.9885864197530865
269,Guj3348,Guj3348__Arafatcolony,3,C4-GUJ-01,30,Stand by,,1,0.9671682098765432,1,1,1,0.9921296296296296,1,0.9916666666666667,1,1,1,0.9475694444444445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9949266975308643,0.9949266975308642
270,GUJ9420,GUJ9420__S_Moh Pondawala Warid_GJ4729,3,C4-GUJ-01,,CM Pak,7242,0.9721064814814815,0.7257908950617283,0.8563001543209876,0.9194251543209877,1,0.5970293209876543,0.9870756172839507,0.8939236111111111,1,1,1,1,1,1,1,1,1,1,0.9558526234567901,1,1,1,1,1,1,1,1,1,1,1,1,0.9453751929012345,0.9453751929012345
271,RUR4666,RUR4666__GUJButtranwali,3,C4-GUJ-01,30,Stand by,,1,1,1,1,1,1,0.942650462962963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9971325231481482,0.997132523148148
272,GUJ9949,GUJ9949__Urdu_Bazar,3,C4-GUJ-01,9,Stand by,,1,1,1,1,1,0.9233989197530864,1,1,1,1,1,1,0.9664351851851852,0.9911458333333333,1,1,1,0.8641087962962963,0.8751581790123457,0.9680555555555556,1,1,1,1,1,1,1,1,1,1,1,0.97941512345679,0.9794151234567902
273,HWY9429,HWY9429__S_Emanabad Warid_MDGJ1825,3,C4-GUJ-01,20,Stand by,,1,0.9972800925925925,0.9946759259259259,0.9972222222222222,0.9490162037037037,0.7798611111111111,0.8813850308641975,0.9983989197530864,0.9534529320987655,0.9286265432098766,1,0.9166280864197531,1,1,1,0.9972800925925925,0.9165509259259259,0.9945023148148148,0.9126967592592592,0.9973186728395061,1,1,1,1,1,1,1,1,1,1,1,0.9607447916666665,0.9607447916666666
274,GUJ3803,GUJ3803__Usman_Colony,3,C4-GUJ-01,,GLO,,0.9860532407407407,0.9648148148148148,0.9497685185185185,1,1,1,0.931886574074074,1,1,1,1,1,1,1,1,1,0.9946759259259259,0.7233487654320987,0.9645061728395061,1,1,1,1,1,1,1,1,1,1,1,1,0.9757527006172839,0.9757527006172839
275,RUR4668,RUR4668__GUJMandialaTega,3,C4-GUJ-01,,GLO,,1,1,1,0.9619791666666667,1,1,1,1,0.9787037037037037,1,0.805150462962963,0.6598032407407407,0.5185223765432099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9462079475308641,0.9462079475308641
276,GUJ3744,GUJ3744__Wblkpeoplesclny,3,C4-GUJ-01,30,Stand by,,1,1,0.8758101851851852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9937905092592592,0.9937905092592593
277,RUR5915,RUR5915__S_GhomaPind-SDKWarid_ES1538,3,C4-GUJ-01,20,Stand by,,1,1,0.9780478395061728,1,1,1,1,0.796045524691358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9887046682098767,0.9887046682098766
278,GUJ3350,GUJ3350__ShahzadTown,4,C4-GUJ-01,27,Stand by,,1,1,1,1,0.9944733796296297,1,1,1,1,1,1,0.9950231481481482,0.9929542824074074,1,1,0.9955150462962963,0.9658564814814815,0.9488425925925926,0.9590711805555555,0.9967881944444444,1,1,1,1,1,1,1,1,1,1,1,0.9924262152777776,0.9924262152777777
279,GUJ9448,GUJ9448__S_Siddiq Colony Warid_MDGJ4646,3,C4-GUJ-01,30,Stand by,,1,1,1,1,1,1,1,1,1,0.9828510802469136,0.8670563271604939,1,1,1,1,1,0.9937114197530864,1,1,0.9985146604938272,1,1,1,1,1,1,1,1,1,1,1,0.9921066743827162,0.992106674382716
280,GUJ4662,GUJ4662__KhyaliBypass,3,C4-GUJ-01,31,Stand by,,1,1,0.9014853395061728,0.9953317901234567,0.9939814814814815,1,0.9614390432098765,1,1,0.9200231481481481,0.9924189814814814,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9882339891975309,0.9882339891975309
281,GUJ1644,GUJ1644__SarfarazColony_WP,3,C4-GUJ-01,,CP Prime,,1,1,1,1,0.909741512345679,1,1,1,1,1,1,1,1,1,1,1,0.861292438271605,0.9841435185185186,1,0.9732253086419753,1,1,1,1,1,1,1,1,1,1,1,0.9864201388888889,0.9864201388888888
282,GUJ3064,GUJ3064__MadinaColony,3,C4-GUJ-01,20,Stand by,,0.9663773148148148,0.9480516975308642,0.9684413580246913,0.9906828703703704,0.8777584876543211,0.9524691358024692,1,0.9896412037037037,1,0.9862731481481481,1,0.9550733024691358,0.85164737654321,0.8563503086419753,0.9586226851851852,0.9850308641975308,0.9846257716049382,0.9822337962962963,0.9480362654320987,0.9939236111111112,1,1,1,1,1,1,1,1,1,1,1,0.9597619598765432,0.9597619598765432
283,GUJ9406,GUJ9406__S_MujahidPura Warid_GJ4230,3,C4-GUJ-01,30,Stand by,,1,0.9984375,1,1,0.9866319444444445,1,0.9693479938271605,1,1,0.9965856481481481,1,1,1,1,1,0.9961805555555555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9973591820987654,0.9973591820987654
284,TMK9457,TMK9457__S_Tarwandi Musa Khan Warid_MDGJ4142,3,C4-GUJ-01,20,Stand by,,0.9284953703703703,0.8796296296296297,1,1,1,0.9938657407407407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9900995370370371,0.990099537037037
285,GUJ3741,GUJ3741__SuperAsiaFactory,3,C4-GUJ-01,30,Stand by,,1,0.9335262345679013,0.9083333333333333,1,0.8939506172839506,1,0.719903549382716,1,1,0.7543016975308641,0.8878086419753086,0.9002700617283951,0.9355516975308642,1,0.9985532407407407,0.9476273148148148,0.6370408950617283,0.9336033950617284,0.9473958333333333,0.965895061728395,1,1,1,1,1,1,1,1,1,1,1,0.9181880787037038,0.9181880787037037
286,KMK6923,KMK6923__SadruddinKamonki,3,C4-GUJ-01,30,Stand by,,1,1,1,1,0.9946759259259259,1,1,1,0.9909143518518518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9992795138888889,0.9992795138888888
287,KMK6922,KMK6922__tankiwala,4,C4-GUJ-01,27,Stand by,,1,1,1,0.96875,1,1,1,1,1,1,1,1,0.9894675925925926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9979108796296297,0.9979108796296297
288,GUJ6948,GUJ6948__Jandialabagh,3,C4-GUJ-01,20,Stand by,,1,0.9981481481481481,1,1,1,0.9980324074074074,1,1,1,1,1,1,1,1,1,0.7629398148148149,0.15289737654321,0.9234143518518518,0.48522762345679005,0.49705246913580237,1,1,1,1,1,1,1,1,1,1,1,0.8908856095679012,0.8908856095679012
