Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,TDT,T-Fuel,Occurrence ,Total NAR,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,Fuel Total,MBU,OMO Host Name,Host ID,Type
11,GJR1059,GJR1059__Moen ud Din Pur(Telenor_LWR-001),3,C4-GRT-04,,Telenor,LWR-001,353.7333333333334,,71,,,,,64.14999999999999,53.000000000000014,,,,,,163.5,,113.50000000000003,498.6833333333333,98.35,,,,,,,,,,,,,1415.9166666666665,,8,0.9836120756172839,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,Telenor,LWR-001,Macro
12,LLM9854,LLM9854__GtRoadLalamusa,3,C4-GRT-04,20,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
13,GJR6488,GJR6488__S_TibbiMarlan,3,C4-GRT-04,,ATL,ATGRT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
14,RUR0509,RUR0509__SarokiGjrat_new,3,C4-GRT-04,,UFONE,7934,,,12.083333333333332,,,,,192.16666666666669,,,,,,,,,9.5,197.5,,,,,,,,,,,,,,411.25,,4,0.9952401620370371,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,UFone,7934,Macro
15,RUR5847,RUR5847_H_University Kharian Link Rd Gujrat,3,C4-GRT-04,,Enfrashare,EC1-GUT-07486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
16,LLM3835,LLM3835__Muhallaqasba,4,C4-GRT-04,27,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
17,RUR5641,RUR5641__S_KotlaSarangKhan_CMPak7488,3,C4-GRT-04,,CM Pak,7488,677.6500000000001,1691.8333333333326,618.5499999999997,4319.949999999999,416.15000000000003,532.3000000000001,839.1499999999999,323.68333333333334,565.6166666666666,659.3166666666667,427.7833333333333,354.99999999999994,243.50000000000006,400.9166666666665,426.3333333333333,743.6833333333333,1691.3333333333326,1406.8666666666668,545.1666666666666,575.6500000000002,,,,,,,,,,,,17460.43333333333,,20,0.797911651234568,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
18,RUR5422,RUR5422__S_SheikhPur,3,C4-GRT-04,,E.Co,e.coPK016380PU,,,,,,,,,,,,,,,,,,441.7333333333333,,,,,,,,,,,,,,441.7333333333333,,1,0.9948873456790124,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,E.Co,,Macro
19,Hwy8854,Hwy8854__Miangeehotel,4,C4-GRT-04,20,Stand by,,,,2.333333333333333,,,,,,,,,41.41666666666667,1.833333333333333,,17.750000000000004,,,,,59.33333333333333,,,,,,,,,,,,122.66666666666667,,5,0.9989351851851852,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
20,JPJ5673,JPJ5673__S_MangowalSharqi_CMPak40679,3,C4-GRT-04,,CM Pak,40679,512.4166666666666,218.33333333333334,330.5,491.75000000000006,469,377.75,237.5,178.1666666666667,427,427.9999999999999,377.1333333333333,315,192.5,187.00000000000003,588.0833333333333,486.41666666666663,161.83333333333331,405.8833333333333,408.5,270.25,,,,,,,,,,,,7063.0166666666655,,20,0.9182521219135802,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
21,JPJ6312,JPJ6312__S_Ittefaq_Colony_MDJJ1561,3,C4-GRT-04,20,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
22,RUR5583,RUR5583__S_ChakPindi_Ufone1362,3,C4-GRT-04,,UFone,CI-1362,,,,,,,,,,,,,,,,,181.41666666666669,,,530.4999999999999,,,,,,,,,,,,711.9166666666665,,2,0.9917602237654322,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
23,RUR5551,RUR5551__S_SouthKarnana,3,C4-GRT-04,,E.Co,e.coPK000978PU,453.33333333333326,,146.08333333333334,135.74999999999997,273,152.23333333333332,736.9000000000002,45.96666666666667,64.58333333333333,249.45000000000005,82.41666666666669,115.5,17.583333333333336,113.91666666666667,463.75000000000017,69.91666666666666,815.7833333333338,819.25,15.083333333333332,17.333333333333332,,,,,,,,,,,,4787.833333333333,,19,0.944585262345679,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
24,JPS8766,JPS8766__SiyamCollege,3,C4-GRT-04,20,Stand by,,10.75,,,,,75,,,,,,,,,5.499999999999999,,111.16666666666664,,53.91666666666667,130.5,,,,,,,,,,,,386.8333333333333,,6,0.9955227623456789,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
25,GJR5765,GJR5765__S_KalraKalan,3,C4-GRT-04,,Enfrashare,EC1-GUT-02327,,,,566.4999999999999,,,,,242,,,,,,,,,,,743.4999999999999,,,,,,,,,,,,1551.9999999999998,,3,0.982037037037037,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
26,RUR0647,RUR0647__Gorali,3,C4-GRT-04,30,Stand by,,,,,,1.916666666666667,,,,,,,,1.583333333333333,,2.416666666666667,,,8.166666666666668,10.166666666666664,,,,,,,,,,,,,24.25,,5,0.9997193287037036,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
27,BGL2206,BGL2206__DhalKakka,3,C4-GRT-04,20,Stand by,,,,57.249999999999986,,30.999999999999993,490.2500000000001,,,,,,,,,,,272.1666666666667,,47.49999999999999,48.500000000000014,,,,,,,,,,,,946.6666666666667,,6,0.9890432098765432,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-MBD-08,,,Macro
28,RUR4021,RUR4021__AwanSharif,3,C4-GRT-04,27,Stand by,,,,,70.43333333333334,119.10000000000001,,,,,,,,,,,109.33333333333331,,,,,,,,,,,,,,,,298.8666666666667,,3,0.9965408950617284,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
29,RUR1236,RUR1236__SHAHBAZPUR_Ufone_3663 ,3,C4-GRT-04,,UFONE,3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,UFone,3663,Macro
30,DHN4912,DHN4912__GJRDingaRdGujrat,3,C4-GRT-04,27,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
31,JPS8768,JPS8768__H_Peershah_New,3,C4-GRT-04,,CP Prime,,,,,1126.633333333333,1101.4333333333334,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,2234.3166666666666,,3,0.9741398533950617,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
32,GJR6250,GJR6250__S_Adil_Colony_Rehman_Shaheed Road_MDGU4253,3,C4-GRT-04,9,Stand by,,,,,,,,,,,,,,,,,,,,,976.3833333333334,,,,,,,,,,,,976.3833333333334,,1,0.9886992669753085,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
33,HWY6555,HWY6555__S_MohlaKalan,3,C4-GRT-04,,E.Co,e.coPK019040PU,757.5500000000002,116.58333333333334,22.666666666666664,593.9833333333333,112.24999999999997,,,,,,,,18.9,93.50000000000001,,,507.99999999999994,455.04999999999995,1461.7333333333331,13.833333333333332,,,,,,,,,,,,4154.05,,11,0.9519207175925927,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
34,GJR6249,GJR6249__S_Mughal_Colony_MDGU4251,3,C4-GRT-04,9,Stand by,,,,,8,31.03333333333334,97.58333333333334,,,,,,,,,,,,,,76.74999999999999,,,,,,,,,,,,213.36666666666667,,4,0.9975304783950617,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
35,GJR6251,GJR6251__S_Shadman_MDGU4208,3,C4-GRT-04,30Kva,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
36,RUR0874,RUR0874__Buchiana,3,C4-GRT-04,27,Stand by,,,306.1666666666667,109.00000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.16666666666674,,2,0.9951948302469136,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
37,GJR6266,GJR6266__S_Miana_Pura_MDGU4257,3,C4-GRT-04,20,Stand by,,109.99999999999997,,,29.9,162.95000000000002,243.5,95.91666666666667,,,,,,,,31.799999999999997,36.150000000000006,825.3333333333333,290.6,261.75,2704.5833333333335,,,,,,,,,,,,4792.483333333334,,11,0.9445314429012346,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
38,JPJ4875,JPJ4875__KashmirNagar,3,C4-GRT-04,30,Stand by,,,,37.74999999999999,,123,,,,,,,,,,245.66666666666657,,,38.25,,,,,,,,,,,,,,444.6666666666666,,4,0.9948533950617283,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
39,RUR0787,RUR0787__Dharki_NEW,3,C4-GRT-04,13,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
40,GJR3427,GJR3427__NewFurnitureMarket,3,C4-GRT-04,,CP Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
41,GJR6246,GJR6246__S_Jatowaqal_MDGU4170,3,C4-GRT-04,27,Stand by,,165.15,54.25,160.79999999999998,242.91666666666663,37,179.50000000000003,165.44999999999996,71.33333333333334,53.08333333333332,53,53.50000000000001,90.41666666666666,54.333333333333336,18.75,308.0000000000001,53.24999999999999,35.75,36.25,71.66666666666667,107.49999999999999,,,,,,,,,,,,2011.8999999999999,,20,0.9767141203703704,7406.9,5245.549999999998,11325.750000000002,15929.73333333333,12042.383333333333,11858.749999999998,8306.25,4844.233333333334,4030.733333333333,4536.9,5224.133333333333,4355.266666666666,5678.6500000000015,5497.816666666665,9708.916666666666,7074.900000000001,16843.383333333335,11606.95,10990.316666666664,33652.816666666666,0,0,0,0,0,0,0,0,0,0,0,0,C4-GRT-04,,,Macro
