Sr. No,Site Code,Site Name,Cells,New MBU,DG Rating,OMO Host Name,Host ID,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,TDT,T-Fuel,Occurrence ,Total NAR,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,Fuel Total,MBU,OMO Host Name,Host ID,Type
324,GUJ3195,GUJ3195__BilalPura,3,C4-GUJ-01,9,Stand by,,,,,,32.916666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,32.916666666666664,,1,0.9996190200617283,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
325,GUJ6260,GUJ6260_S_GMagnoliaPark,3,C4-GUJ-01,,E.Co,e.coPK018339PU,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,,1,0.9999045138888889,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
326,GUJ6809,GUJ6809__S_UniversityOfKotli_CMPak43241,3,C4-GUJ-01,,CM Pak,43241,293,384.25,880.5833333333331,221,267.74999999999994,240.91666666666657,1431.6500000000003,687.5500000000001,168.41666666666669,252.25,61.41666666666667,240.50000000000006,674.0499999999998,245,374.16666666666674,274.48333333333335,520.8333333333333,268.5,294.75,260.24999999999994,,,,,,,,,,,,8041.3166666666675,,20,0.9069292052469136,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,
327,KMK4008,KMK4008__SalamatPura,3,C4-GUJ-01,30,Stand by,,767.1333333333334,312.5000000000001,801.8,639.55,,,13.583333333333332,,,,88.33333333333334,,46.166666666666664,,,,,,,,,,,,,,,,,,,2669.066666666667,,7,0.969108024691358,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
328,GUJ5105,GUJ5105__S_Jamal Market Warid_MDGJ4151,3,C4-GUJ-01,27,Stand by,,,135.5,175.1666666666667,532.5833333333334,209,1584.6499999999999,96.13333333333333,,,,961.4999999999999,,987.1666666666667,38.49999999999999,1497.1666666666665,,,,,44.91666666666667,,,,,,,,,,,,6262.283333333334,,11,0.9275198688271605,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-02,,,Macro
329,GUJ9730,GUJ9730__MozaMaufiwalaGujnwla,4,C4-GUJ-01,30,Stand by,,,,,,,38.333333333333336,,,,480.9,,,,,,,60,,,132.73333333333335,,,,,,,,,,,,711.9666666666667,,4,0.9938197337962963,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
330,KMK8981,KMK8981__MohalaDarveshpura,3,C4-GUJ-01,20,Stand by,,,,,,,102.58333333333334,257.01666666666665,,41.00000000000001,1131.35,,,,,,,,,,,,,,,,,,,,,,1531.9499999999998,,4,0.9822690972222222,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
331,GUJ8794,GUJ8794__S_SalimColony_CMPak6746,3,C4-GUJ-01,,CM Pak,6746,,,248.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.5,,1,0.9971238425925926,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,CMPak,6746,Macro
332,GUJ5482,GUJ5482__S_MohafizTown,3,C4-GUJ-01,,Enfrashare,EC1-GUJ-02584,,,,,,199.16666666666669,84.83333333333334,840.6666666666667,,,,,,,,,1626.7166666666667,1438.1499999999996,392.85000000000014,150.29999999999998,,,,,,,,,,,,4732.683333333333,,7,0.9452235725308643,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
333,GUJ5922,GUJ5922_H_Abdullah Colony Gujranwala,3,C4-GUJ-01,,E.Co,e.coPK019604PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
334,GUJ6267,GUJ6267__S_MasterCityHousingScheme,3,C4-GUJ-01,,Enfrashare,EC1-GUJ-02839,,19.583333333333336,6.916666666666667,158.21666666666664,,,,,81.99999999999999,,,,,,,,,,,,,,,,,,,,,,,266.71666666666664,,4,0.9969130015432098,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
335,GUJ9437,GUJ9437__S_B3-wapda Town Warid_MDGJ4163,8,C4-GUJ-01,27,Stand by,,68.33333333333334,126.91666666666669,,71.83333333333333,159.33333333333334,193.75000000000003,154.75,58.916666666666664,66.41666666666666,64.66666666666669,,167.56666666666675,69.38333333333333,38.25,65.41666666666667,875.9999999999998,833.483333333333,70,67.08333333333333,125.58333333333334,,,,,,,,,,,,3277.6833333333334,,18,0.9857739438657407,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
336,GUJ5319,GUJ5319__S_JalilTown_CMPak40268,3,C4-GUJ-01,,CM Pak,40286,1633.5499999999984,193.50000000000009,1942.883333333333,625.6333333333333,1605.1333333333334,1342.4666666666665,689.7166666666665,132.39999999999998,104.55,1288.1499999999999,19,1389,60.750000000000014,,,299.3833333333334,1350.7166666666667,110.94999999999999,1240.6666666666667,89.33333333333333,,,,,,,,,,,,14117.783333333331,,18,0.8365997299382717,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,CMPak,CMPak-40268,Macro
337,HWY5796,HWY5796_H_Itwaar bazar more_Eminabad More Gujranwala,3,C4-GUJ-01,,PTCL,GTRP2001,,,,,341.0000000000001,,,239,,,,111,,,235.5,77.66666666666667,,,295.4166666666667,,,,,,,,,,,,,1299.5833333333335,,6,0.9849585262345678,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
338,RUR9550,RUR9550__S_Attawa_CMPak5629,3,C4-GUJ-01,,CM Pak,5629,,,853.8333333333334,,571.2500000000001,1406.6333333333337,,,208.5,408.2499999999999,,516.9999999999999,,,,,398.4999999999999,,407.7500000000001,,,,,,,,,,,,,4771.716666666667,,8,0.9447717978395062,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,CM-PAK,5629,Macro
339,GUJ5194,GUJ5194__T_Gujranwala_FoodIndustries(JOJO),1,C4-GUJ-01,,Jazz CP Prime,,236.05,188.60000000000005,,,,,27.5,17.58333333333333,,19,111.91666666666664,,,,,21.76666666666667,33.333333333333336,117.5833333333333,,,,,,,,,,,,,,773.3333333333334,,9,0.9731481481481481,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Micro
340,GUJ3089,GUJ3089__Satellitetown,4,C4-GUJ-01,9,Stand by,,,209.6,102.83333333333331,,,,22.750000000000004,,,113.91666666666667,,279.5,,,930.0833333333334,956.8333333333334,,1085.7500000000002,573.6666666666667,895.6666666666665,,,,,,,,,,,,5170.6,,10,0.9551163194444444,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
341,GUJ9672,GUJ9672__S_FFQSupportsProgramKhialibranch,3,C4-GUJ-01,,CP Prime,,,,,,,,,,,,,,,,,,,248.5,,,,,,,,,,,,,,248.5,,1,0.9971238425925926,33251.966666666674,31880.05,0,7329.083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
342,GUJ3742,GUJ3742__HafizPlaza,3,C4-GUJ-01,30,Stand by,,5.750000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.750000000000001,,1,0.999933449074074,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
343,HWY9044,HWY9044__S_Salar_CMPak7118,3,C4-GUJ-01,,CM Pak,7118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,,,,,,,,,,,,,,,,,,,,,,0,0,C4-GUJ-01,CMPak,7118,Macro
344,GUJ5469,GUJ5469__S_Jagna,3,C4-GUJ-01,,Enfrashare,EC1-GUJ-01734,,75.05000000000001,22.583333333333336,,,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,116.38333333333335,,3,0.9986529706790124,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
345,GUJ9407,GUJ9407__S_Usman Gill Cnly Warid_GJ4152,3,C4-GUJ-01,27,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
346,RUR1051,RUR1051__Nizampur,3,C4-GUJ-01,9,Stand by,,928.65,303.1333333333333,359.4999999999999,,,,,46.25000000000001,375.4166666666667,,,,,,,,,,,,,,,,,,,,,,,2012.95,,5,0.9767019675925925,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
347,GUJ3359,GUJ3359__DeltaRd,3,C4-GUJ-01,9,Stand by,,,,,,,,,,337.66666666666663,,,,,,,,,,,,,,,,,,,,,,,337.66666666666663,,1,0.9960918209876543,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
348,HWY9737,HWY9737__MoreAmenabad2,3,C4-GUJ-01,31+30,Stand by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
349,GUJ6135,GUJ6135__S_NabiPura_CMPak4087,3,C4-GUJ-01,,CM Pak,CMPak4087,114.5,579.4666666666665,1131.0833333333333,752.0000000000001,1137.5,,459,,,1262.4,15.5,1326.2499999999998,,,135.75,1050.5,2107.8166666666666,,1052.9666666666667,,,,,,,,,,,,,11124.733333333334,,13,0.871241512345679,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,,,,Macro
350,GUJ0316,GUJ0316_Thana wala Bazar,1,C4-GUJ-01,,Jazz CP Prime,,,,,178.66666666666669,,151.9166666666667,,,,,,,,,,,,,,17.25,,,,,,,,,,,,347.83333333333337,,3,0.9879224537037037,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Micro
351,GUJ9465,GUJ9465__S_Qasim Town Warid_MDGJ1828,3,C4-GUJ-01,20,Stand by,,492.25,1300.6333333333332,,178.66666666666666,337.66666666666663,2.25,223.9833333333333,145.33333333333334,,209.66666666666666,673.2999999999995,407.49999999999994,809.5499999999994,124.65000000000002,66,180.33333333333331,179.4,262.9166666666667,383.8333333333333,280.3,,,,,,,,,,,,6258.233333333331,,18,0.9275667438271605,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
352,GUJ8945,GUJ8945__WahdatColony,3,C4-GUJ-01,9,Stand by,,,141.66666666666666,,,,28.73333333333333,,,,,,,,,,,,34.66666666666667,,,,,,,,,,,,,,205.06666666666666,,3,0.9976265432098765,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
353,KNB9978,KNB9978__KotliNawab,4,C4-GUJ-01,30,Stand by,,,,50,,583.3333333333331,1594.933333333333,,430.25,,,,79,,,226.24999999999997,207.33333333333334,,,1138.8166666666668,,,,,,,,,,,,,4309.916666666666,,8,0.9625875289351852,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
354,RUR9428,RUR9428__S_Butala Warid_MDGJ4493,3,C4-GUJ-01,,Ufone,3959,,,,,,16.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,16.333333333333336,,1,0.9998109567901234,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,UFone,3959,Macro
355,GUJ3349,GUJ3349__FreedTown,3,C4-GUJ-01,,CP Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
356,KMK5928,KMK5928__S_New Model Town Warid_IK1570,3,C4-GUJ-01,,CP Prime,,,,,117.99999999999999,,,,,,153.50000000000003,351.91666666666674,300.78333333333325,334.64999999999986,49.96666666666666,351.3333333333333,,,,,,,,,,,,,,,,,1660.1499999999999,,7,0.9807853009259259,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
357,RUR5919,RUR5919__S_Chandali-KMK Warid_IK5085,3,C4-GUJ-01,,Ufone,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,UFone,3396,Macro
358,GUJ9418,GUJ9418__S_Faqirpura Warid_GJ4231,3,C4-GUJ-01,27,Stand by,,153.25,310.5,304.16666666666663,164.58333333333331,224.6666666666667,58.25,588.75,71.58333333333333,,146.33333333333334,283.25,100.50000000000001,104.41666666666666,23.25,119.56666666666665,55.499999999999986,140.25000000000003,22.083333333333332,126.41666666666666,,,,,,,,,,,,,2997.316666666666,,18,0.9653088348765432,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
359,GUJ0470,GUJ0470__WapdaTownGujwl,6,C4-GUJ-01,30,Stand by,,,,,,,,,,353.4,436.75,,,,,,,,,,,,,,,,,,,,,,790.15,,2,0.9954273726851852,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
360,GUJ9849,GUJ9849__Mohallah_Qadri,3,C4-GUJ-01,27,Stand by,,,64.5,217.33333333333331,,,,,81.21666666666667,,,,,,60,,,,,210.8166666666667,,,,,,,,,,,,,633.8666666666667,,5,0.9926635802469136,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
361,KMK4470,KMK4470__AliArcadeGTRoad,4,C4-GUJ-01,20,Stand by,,,,,177.5833333333334,291.35,,,,,,,,,,,,,,,,,,,,,,,,,,,468.9333333333334,,2,0.9959293981481481,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
362,KMK9799,KMK9799__MuhammadPura,3,C4-GUJ-01,20,Stand by,,,,,,22.5,,,,39.24999999999999,,,,167.08333333333334,,,,,,,,,,,,,,,,,,,228.83333333333334,,3,0.9973514660493826,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
363,GUJ0410,GUJ0410__SheranwalaBagh,3,C4-GUJ-01,27,Stand by,,,,,,196.25,178.75000000000003,,,,,,,140.50000000000003,,,,,,,253.58333333333331,,,,,,,,,,,,769.0833333333333,,4,0.9910985725308642,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-02,,,Macro
364,GUJ9462,GUJ9462__S_DC Rd Warid_MDGJ4212,5,C4-GUJ-01,13,Stand by,,,,,,,,,,,,,,,,,,,117.66666666666667,,520.3333333333331,,,,,,,,,,,,637.9999999999998,,2,0.9955694444444444,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-02,,,Macro
365,GUJ9414,GUJ9414__S_Sec Y-People Cnly Warid_GJ4197,3,C4-GUJ-01,30,Stand by,,,,,,,,,,,,,,,,,394.1500000000001,60.46666666666666,,,,,,,,,,,,,,,454.61666666666673,,2,0.9947382330246914,33251.966666666674,31880.05,33714.849999999984,17702.666666666664,32363.333333333336,38795.566666666666,24745.533333333336,17455.899999999998,8683.283333333333,23576.716666666664,16283.3,22950.033333333336,21475.450000000004,5746.416666666666,14574.983333333334,24744.649999999998,30567.733333333334,28901.6,40849.6,24409.15,0,0,0,0,0,0,0,0,0,0,0,0,C4-GUJ-01,,,Macro
