Code,Vendor,BSC,Site,Sector,Occurring,Clearing,DT,SiteType,Priority,Type,Region,Sub-Region,Comm_Region,OSV,Proposed Region,Zone,MBU#,RBU,hour,minute,SiteCode,NoofCells,Outage Level,SITE,OCC,CLR,ALARM,Corelation Reason,Reason Category,Detailed Category,General,Reasons,Deodar/NonDeodar,,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 06:37:24,2026-08-01 07:07:24,30,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,6,37,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC26522__S_NearSaidNagar,2026-08-01 07:03:29,2026-08-01 07:05:29,2,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,7,3,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 07:56:54,2026-08-01 08:10:14,13.33333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,7,56,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 08:16:59,2026-08-01 08:27:44,10.75,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,8,16,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 08:35:39,2026-08-01 08:46:34,10.91666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,8,35,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 08:53:14,2026-08-01 09:05:49,12.58333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,8,53,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 09:20:49,2026-08-01 09:50:14,29.41666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,9,20,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 09:54:19,2026-08-01 10:06:19,12,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,9,54,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 10:19:49,2026-08-01 10:22:14,2.416666666666667,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,10,19,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
ALC6522,Huawei,GUJ006H__Pindibypass_6,ALC6522__S_NearSaidNagar,ALC36522__S_NearSaidNagar,2026-08-01 10:28:29,2026-08-01 10:41:19,12.83333333333333,General,General,Macro,Central A,No,Central 4,Huawei,R1,9,C4-HFZ-06,Central A,10,28,ALC6522,3,Cell,,,,,,"B2S/Exclusion- Good Grid Site , CP Prolonged Outage",Shared,Shared,B2S,Non Deodar,B2s/E.Co/wapda prime/wapda outage,,
