SiteCode,Site Name,NoofCells,(2G/3G),Priority,Type,Category,MBU#,OMO Colocation,OMO host name ,DG site,2026-08-01 00:00:00,2026-08-02 00:00:00,2026-08-03 00:00:00,2026-08-04 00:00:00,2026-08-05 00:00:00,2026-08-06 00:00:00,2026-08-07 00:00:00,2026-08-08 00:00:00,2026-08-09 00:00:00,2026-08-10 00:00:00,2026-08-11 00:00:00,2026-08-12 00:00:00,2026-08-13 00:00:00,2026-08-14 00:00:00,2026-08-15 00:00:00,2026-08-16 00:00:00,2026-08-17 00:00:00,2026-08-18 00:00:00,2026-08-19 00:00:00,2026-08-20 00:00:00,2026-08-21 00:00:00,2026-08-22 00:00:00,2026-08-23 00:00:00,2026-08-24 00:00:00,2026-08-25 00:00:00,2026-08-26 00:00:00,2026-08-27 00:00:00,2026-08-28 00:00:00,2026-08-29 00:00:00,2026-08-30 00:00:00,2026-08-31 00:00:00,Frequency,4G NAR
RUR1165,RUR1165__S_Darajake,6,2G/LTE,Bronze,Macro,B2S,C4-GUJ-01,E.Co,E.Co,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
RUR2476,RUR2476__S_Dhamthal,6,2G/LTE,Bronze,Macro,B2S,C4-GRT-04,ATL,ATL,Non DG Site,100,100,100,100,100,100,100,100,100,100,99.710648148148,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,1,99.9855324074074
RUR2577,RUR2577__S_Gujgran,6,2G/LTE,Bronze,Macro,B2S,C4-GRT-04,ATL,ATL,Non DG Site,100,100,100,100,100,100,100,100,100,100,99.710648148148,100,100,100,100,100,100,99.699074074074,100,100,,,,,,,,,,,,2,99.9704861111111
RUR2701,RUR2701__S_KotlaArabAliKhan,6,2G/LTE,Bronze,Macro,B2S,C4-GRT-04,E.Co,E.Co,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
RUR5722,RUR5722__S_ChittiSheikhan_CMPak4992,9,2G/3G/LTE,Diamond,Macro,OMO,C4-SKT-03,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
RUR2734,RUR2734__S_BhuppraGuraya,6,2G/LTE,Bronze,Macro,B2S,C4-HFZ-06,ATL,ATL,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
SKT9543,LTE_SKT9543__S_Fatehgarh,6,2G/LTE,Bronze,Macro,B2S,C4-SKT-03,ATL,ATL,Non DG Site,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,83.333333333333,86.985918209876,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,11,91.01596257716031
SKT9388,LTE_SKT9388__S_KaakeWali_CMPak42996,6,2G/LTE,Bronze,Macro,OMO,C4-SKT-03,Jazz Guest/CM-PAK Host,CM-PAK ,Non DG Site,100,100,100,100,88.02662037037,100,100,100,100,100,100,100,91.018518518518,100,100,100,100,100,100,100,,,,,,,,,,,,2,98.9522569444444
GHK8940,GHK8940__S_GilWalaRd,6,2G/LTE,Bronze,Macro,B2S,C4-GUJ-02,E.Co,E.Co,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,0,100
HFZ1525,HFZ1525__S_HafizabadCourt,6,2G/LTE,Bronze,Macro,B2S,C4-HFZ-06,ATL,ATL,Non DG Site,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.826388888888,,,,,,,,,,,,1,99.7413194444444
